Date,Vehicle,Price,Mileage,Cost
26/10/2024,WF60RKA,135.7,93900,0.01
27/10/2024,WF60RKA,135.7,94474,89.47
05/11/2024,WF60RKA,134.7,94926,66.72
11/11/2024,WF60RKA,134.7,95258,52.16
17/11/2024,WF60RKA,136.7,95807,86.41
24/11/2024,WF60RKA,136.7,96304,82.46
01/12/2024,WF60RKA,137.7,96822,84.42
08/12/2024,WF60RKA,137.7,97141,52.96
14/12/2024,WF60RKA,138.7,97526,67.21
28/12/2024,WF60RKA,139.7,97972,74.94
11/01/2025,WF60RKA,139.7,98433,82.93
19/01/2025,WF60RKA,140.7,98800,60.92
26/01/2025,WF60RKA,141.7,99276,80.06
02/02/2025,WF60RKA,141.7,99666,64.23
09/02/2025,WF60RKA,142.7,100073,65.7
12/02/2025,WF60RKA,142.9,100557,75.17
